STATISTIK KEUANGAN PEMERINTAHAN KABUPATEN/KOTA 2011-2012;Tidak ada
POLA PENGELUARAN DAN KONSUMSI PENDUDUK INDONESIA 2014;2
STATISTIK LINGKUNGAN HIDUP INDONESIA 2011;Tidak ada
POLA PENGELUARAN DAN KONSUMSI PENDUDUK INDONESIA 2014;Tidak ada
EKSPOR INDONESIA MENURUT KODE ISIC 2009-2010;2
EKSPOR INDONESIA MENURUT KODE ISIC 2009-2010;Tidak ada
STATISTIK KEUANGAN PEMERINTAH DAERAH KABUPATEN/KOTA 2000-2002;1
STATISTIK HARGA PRODUSEN GABAH DI INDONESIA 2011;1
STATISTIK UPAH BURUH TANI DI PERDESAAN 2010;1
STATISTIK PERTAMBANGAN BAHAN GALIAN INDONESIA 2010-2013;1
HARGA KONSUMEN BEBERAPA BARANG KELOMPOK MAKANAN DI 45 KOTA DI INDONESIA 2007;1
HARGA KONSUMEN NASIONAL BEBERAPA BARANG DAN JASA 2008;1
HARGA KONSUMEN BEBERAPA BARANG DAN JASA KELOMPOK PERUMAHAN DI 45 KOTA DI INDONESIA 2007;1
INDIKATOR KESEJAHTERAAN RAKYAT PROVINSI SULAWESI UTARA TAHUN 2002;1
STATISTIK DAERAH KECAMATAN KOTABUNAN 2016;1
STATISTIK DAERAH KECAMATAN LOLAYAN 2016;1
STATISTIK DAERAH KECAMATAN TOMOHON UTARA 2016;Tidak ada
STATISTIK DAERAH REMBOKEN 2016;1
STATISTIK DAERAH KECAMATAN SANGTOMBOLANG 2016;2
STATISTIK DAERAH KECAMATAN SANGKUB 2016;1
STATISTIK DAERAH KECAMATAN SALIBABU 2016;Tidak ada
STATISTIK DAERAH KECAMATAN PASSI TIMUR 2016;1
LAPORAN SOSIAL INDONESIA 2007: ANALISIS PERKEMBANGAN STATISTIK KETENAGAKERJAAN;1
STATISTIK PENDUDUK LANJUT USIA 2009;1
STATISTIK DAERAH KECAMATAN BEO UTARA 2016;Tidak ada
PETA TEMATIK KEADAAN SOSIAL EKONOMI INDONESIA 1994;1
STATISTIK KEUANGAN PEMERINTAH DAERAH KABUPATEN/KOTA 1998/1999 - 1999/2000;Tidak ada
STATISTIK PERTAMBANGAN NON MINYAK DAN GAS BUMI 2005-2009;1
DIAGRAM TIMBANG NILAI TUKAR PETANI (NTP) - SUBSEKTOR TANAMAN PANGAN 2012;1
STATISTIK DAERAH KECAMATAN TOMOHON TIMUR 2016;Tidak ada
STATISTIK DAERAH KECAMATAN SANGTOMBOLANG 2016;Tidak ada
HARGA KONSUMEN BEBERAPA BARANG DAN JASA, KELOMPOK KESEHATAN, PENDIDIKAN, DAN TRANSPOR DI 66 KOTA DI INDONESIA 2013;1
STATISTIK DAERAH KOTA MANADO 2015;1
PROVINSI KALIMANTAN SELATAN DALAM ANGKA 2018;1
STATISTIK PERTAMBANGAN NON MINYAK DAN GAS BUMI 2004-2008;1
DIAGRAM TIMBANG NILAI TUKAR PETANI (NTP) - SUBSEKTOR PETERNAKAN 2012;1
STATISTIK KELAPA SAWIT INDONESIA 2007;Tidak ada
STATISTIK KEUANGAN PEMERINTAH DAERAH KABUPATEN/KOTA 2003-2004;1
DIAGRAM TIMBANG NILAI TUKAR PETANI (NTP) - SUBSEKTOR TANAMAN HORTIKULTURA 2012;Tidak ada
DIAGRAM TIMBANG NILAI TUKAR PETANI (NTP) - SUBSEKTOR TANAMAN PERKEBUNAN RAKYAT 2012;1
STATISTIK KEUANGAN BADAN USAHA MILIK NEGARA (BUMN) DAN BADAN USAHA MILIK DAERAH (BUMD) 2010;1
STATISTIK KEUANGAN PEMERINTAHAN DESA 2008;Tidak ada
ANALISIS STATISTIK EKONOMI (INDIKATOR PENDAHULU) 2010;1
STATISTIK DAERAH PROVINSI BALI 2014;1
STATISTIK DAERAH PROVINSI ACEH 2014;1
STATISTIK DAERAH PROVINSI SULAWESI TENGAH 2014;1
STATISTIK DAERAH PROVINSI SUMATERA BARAT 2011;1
PERUMAHAN PENDUDUK INDONESIA (HASIL SENSUS PENDUDUK 2010) 2010;1
STATISTIK DAERAH KECAMATAN TAGULANDANG UTARA 2011;1
STATISTIK DAERAH KECAMATAN TABUKAN SELATAN TENGGARA 2011;1
STATISTIK DAERAH KECAMATAN TATOARENG 2011;1
STATISTIK DAERAH KECAMATAN TABUKAN TENGAH 2011;1
