PENDUDUK INDONESIA HASIL SENSUS PENDUDUK 2000 SERI: L2.2;Tidak ada;1 eksemplar1
STATISTIK SUMBER DAYA LAUT DAN PESISIR 2004;Tidak ada;0 eksemplar1
JUMLAH PENDUDUK DAN RUMAH TANGGA PROVINSI SUMATERA SELATAN 2000;Tidak ada;0 eksemplar1
JUMLAH PENDUDUK DAN RUMAH TANGGA PROVINSI SUMATERA SELATAN 2000;Tidak ada;0 eksemplar1
KARAKTERISTIK PENDUDUK PROVINSI BALI HASIL SENSUS PENDUDUK 2000;Tidak ada;0 eksemplar1
PENDUDUK KABUPATEN BOALEMO HASIL SENSUS PENDUDUK 2000;Tidak ada;0 eksemplar1
KEADAAN ANGKATAN KERJA DI INDONESIA MEI 2014;Tidak ada;1 eksemplar2
KEADAAN ANGKATAN KERJA DI INDONESIA AGUSTUS 2014;Tidak ada;1 eksemplar2
LUAS LAHAN MENURUT PENGGUNAAN KABUPATEN LIMA PULUH KOTA 2015/2016;Tidak ada;0 eksemplar2
PENGELUARAN UNTUK KONSUMSI PENDUDUK INDONESIA PER PROVINSI (BUKU III) MARET 2019;Tidak ada;1 eksemplar2
DIREKTORI PERUSAHAAN KEHUTANAN 2013;Tidak ada;0 eksemplar2
PENGELUARAN UNTUK KONSUMSI PENDUDUK INDONESIA PER PROVINSI (BUKU III) MARET 2015;Tidak ada;1 eksemplar1
PENGELUARAN UNTUK KONSUMSI PENDUDUK INDONESIA (BUKU I) MARET 2014;Tidak ada;1 eksemplar1
KEADAAN PEKERJA DI INDONESIA AGUSTUS 2014;Tidak ada;1 eksemplar1
INDIKATOR PASAR TENAGA KERJA INDONESIA MEI 2013;Tidak ada;1 eksemplar2
DATA DAN INFORMASI KEMISKINAN KABUPATEN/KOTA 2019;Tidak ada;1 eksemplar1
KARAKTERISTIK PENDUDUK PROVINSI NUSA TENGGARA BARAT 2000;Tidak ada;0 eksemplar1
KEADAAN ANGKATAN KERJA DI INDONESIA FEBRUARI 2012;Tidak ada;1 eksemplar3
KEADAAN ANGKATAN KERJA DI INDONESIA AGUSTUS 2016;Tidak ada;1 eksemplar4
KEADAAN PEKERJA DI INDONESIA AGUSTUS 2013;Tidak ada;1 eksemplar1
KEADAAN ANGKATAN KERJA DI INDONESIA FEBRUARI 2016;Tidak ada;2 eksemplar2
PENGELUARAN UNTUK KONSUMSI PENDUDUK INDONESIA PER PROVINSI (BUKU III) SEPTEMBER 2014;Tidak ada;1 eksemplar1
DIREKTORI PERUSAHAAN KEHUTANAN 2014;Tidak ada;0 eksemplar1
DATA DAN INFORMASI KEMISKINAN KABUPATEN/KOTA 2010;Tidak ada;1 eksemplar1
DATA DAN INFORMASI KEMISKINAN KABUPATEN/KOTA 2012;Tidak ada;1 eksemplar2
PENGELUARAN UNTUK KONSUMSI PENDUDUK INDONESIA PER PROVINSI (BUKU III) MARET 2015;Tidak ada;1 eksemplar1
DATA DAN INFORMASI KEMISKINAN KABUPATEN/KOTA TAHUN 2014;Tidak ada;2 eksemplar1
DATA DAN INFORMASI KEMISKINAN KABUPATEN/KOTA TAHUN 2014;Tidak ada;2 eksemplar1
KEADAAN PEKERJA DI INDONESIA FEBRUARI 2016;Tidak ada;1 eksemplar1
KEADAAN ANGKATAN KERJA DI INDONESIA AGUSTUS 2016;Tidak ada;1 eksemplar4
DATA DAN INFORMASI KEMISKINAN KABUPATEN/KOTA 2010;Tidak ada;1 eksemplar1
PENGELUARAN UNTUK KONSUMSI PENDUDUK INDONESIA PER PROVINSI (BUKU III) MARET 2015;Tidak ada;1 eksemplar1
DATA DAN INFORMASI KEMISKINAN KABUPATEN/KOTA TAHUN 2014;Tidak ada;2 eksemplar1
KEADAAN ANGKATAN KERJA DI INDONESIA FEBRUARI 2015;Tidak ada;1 eksemplar2
DATA DAN INFORMASI KEMISKINAN KABUPATEN/KOTA 2010;Tidak ada;1 eksemplar1
PENGELUARAN UNTUK KONSUMSI PENDUDUK INDONESIA PER PROVINSI (BUKU III) MARET 2016;Tidak ada;1 eksemplar1
RINGKASAN EKSEKUTIF PENGELUARAN DAN KONSUMSI PENDUDUK INDONESIA MARET 2015;Tidak ada;1 eksemplar2
RINGKASAN EKSEKUTIF PENGELUARAN DAN KONSUMSI PENDUDUK INDONESIA PROVINSI JAWA TENGAH HASIL SUSENAS SEPTEMBER 2014;Tidak ada;0 eksemplar2
KONSUMSI KALORI DAN PROTEIN PENDUDUK INDONESIA DAN PROVINSI (BUKU II) MARET 2016;Tidak ada;0 eksemplar2
STATISTIK KESEJAHTERAAN RAKYAT 2008;Tidak ada;0 eksemplar2
KEADAAN ANGKATAN KERJA DI INDONESIA FEBRUARI 2017;Tidak ada;1 eksemplar2
RINGKASAN EKSEKUTIF PENGELUARAN DAN KONSUMSI PENDUDUK INDONESIA PROVINSI JAWA TENGAH HASIL SUSENAS SEPTEMBER 2014;Tidak ada;0 eksemplar2
KEADAAN ANGKATAN KERJA DI INDONESIA AGUSTUS 2016;Tidak ada;1 eksemplar4
STATISTIK PEMUDA INDONESIA 2003;Tidak ada;0 eksemplar4
PROFIL KESEHATAN IBU DAN ANAK 2001;Tidak ada;0 eksemplar4
STATISTIK PEMUDA INDONESIA 2007;Tidak ada;1 eksemplar1
STATISTIK SOSIAL BUDAYA HASIL SUSENAS 2000;Tidak ada;0 eksemplar1
PENGELUARAN UNTUK KONSUMSI PENDUDUK INDONESIA PER PROVINSI (BUKU III) MARET 2015;Tidak ada;1 eksemplar1
STATISTIK SOSIAL BUDAYA HASIL SUSENAS 2006;Tidak ada;1 eksemplar1
STATISTIK DAERAH KECAMATAN KOTAMOBAGU SELATAN 2016;Tidak ada;0 eksemplar1
STATISTIK PEMUDA INDONESIA 2003;Tidak ada;0 eksemplar1
INDIKATOR KESEJAHTERAAN ANAK 2000;Tidak ada;0 eksemplar1
STATISTIK PENUNJANG PENDIDIKAN 2015 (HASIL SUSENAS MODUL SOSIAL BUDAYA DAN PENDIDIKAN);Tidak ada;1 eksemplar1
KATALOG PUBLIKASI BPS 2008;Tidak ada;0 eksemplar1
STATISTIK POLITIK 2013;Tidak ada;1 eksemplar1
INDEKS KEBAHAGIAAN 2017;Tidak ada;1 eksemplar1
STATISTIK KESEHATAN 2013;Tidak ada;0 eksemplar1
INDIKATOR PERILAKU PEDULI LINGKUNGAN HIDUP 2014;Tidak ada;1 eksemplar1
INDEKS KEBAHAGIAAN 2017;Tidak ada;1 eksemplar1
PROFIL STATISTIK KESEHATAN INDONESIA 2011;Tidak ada;1 eksemplar1
STATISTIK KESEJAHTERAAN RAKYAT 2015;Tidak ada;0 eksemplar1
STATISTIK KELAPA SAWIT INDONESIA 2007;Tidak ada;2 eksemplar2
STATISTIK KELAPA SAWIT INDONESIA 2007;Tidak ada;2 eksemplar2
SENSUS PERTANIAN 2003: PEDOMAN PENCACAH SURVEI RUMAH TANGGA USAHA TANAMAN PADI;Tidak ada;0 eksemplar2
PRODUK DOMESTIK REGIONAL BRUTO KABUPATEN/KOTA DI SULAWESI UTARA MENURUT LAPANGAN USAHA 2017-2021;Tidak ada;0 eksemplar2
PRODUKSI TANAMAN PANGAN ANGKA RAMALAN II NOVEMBER 2014;Tidak ada;0 eksemplar2
PRODUKSI TANAMAN PANGAN ANGKA RAMALAN II TAHUN 2015;Tidak ada;0 eksemplar2
STATISTIK TANAMAN HIAS INDONESIA 2015;Tidak ada;1 eksemplar1
STATISTIK TANAMAN BUAH-BUAHAN DAN SAYURAN TAHUNAN INDONESIA 2015;Tidak ada;1 eksemplar1
STATISTIK TEH INDONESIA 2015;Tidak ada;1 eksemplar1
DIREKTORI PERUSAHAAN PERTANIAN PROVINSI SUMATERA SELATAN 2016;Tidak ada;0 eksemplar1
STATISTIK PEMOTONGAN TERNAK 2012;Tidak ada;1 eksemplar1
STATISTIK PRODUKSI KEHUTANAN 2013;Tidak ada;0 eksemplar1
ANALISIS RUMAH TANGGA SEKITAR KAWASAN HUTAN DI INDONESIA HASIL SURVEI KEHUTANAN 2014;Tidak ada;1 eksemplar1
STATISTIK PEMOTONGAN TERNAK JAWA TIMUR TAHUN 2013;Tidak ada;0 eksemplar1
STATISTIK TEBU INDONESIA 2015;Tidak ada;0 eksemplar1
STATISTIK TANAMAN BUAH-BUAHAN DAN SAYURAN TAHUNAN INDONESIA 2014;Tidak ada;0 eksemplar1
STATISTIK PERUSAHAAN HAK PENGUSAHAAN HUTAN 2012;Tidak ada;1 eksemplar1
STATISTIK PERUSAHAAN HAK PENGUSAHAAN HUTAN 2012;Tidak ada;1 eksemplar1
INDIKATOR KONSTRUKSI TRIWULAN III 2013;Tidak ada;2 eksemplar3
INDIKATOR KONSTRUKSI TRIWULAN III 2013;Tidak ada;2 eksemplar3
INDIKATOR KONSTRUKSI TRIWULAN II 2017;Tidak ada;0 eksemplar3
STATISTIK TANAMAN BIOFARMAKA INDONESIA 2015;Tidak ada;0 eksemplar3
STATISTIK KELAPA SAWIT INDONESIA 2014;Tidak ada;0 eksemplar3
STATISTIK TEH INDONESIA 2014;Tidak ada;1 eksemplar1
STATISTIK TEBU INDONESIA 2014;Tidak ada;1 eksemplar1
ANALISIS SOSIAL EKONOMI PETANI DI SULAWESI TENGGARA 2013;Tidak ada;0 eksemplar1
STATISTIK KARET INDONESIA 2014;Tidak ada;1 eksemplar1
STATISTIK PRODUKSI KEHUTANAN 2012;Tidak ada;0 eksemplar1
STATISTIK PERUSAHAAN PERIKANAN 2016;Tidak ada;0 eksemplar1
STATISTIK TEMPAT PELELANGAN IKAN 2016;Tidak ada;0 eksemplar1
RINGKASAN EKSEKUTIF STRUKTUR ONGKOS RUMAH TANGGA USAHA PENANGKAPAN IKAN 2014;Tidak ada;1 eksemplar1
POTENSI PERTANIAN INDONESIA ANALISIS HASIL PENCACAHAN LENGKAP SENSUS PERTANIAN 2013;Tidak ada;0 eksemplar1
INDIKATOR KONSTRUKSI TRIWULAN III 2016;Tidak ada;1 eksemplar1
STATISTIK TANAMAN HIAS INDONESIA 2014;Tidak ada;0 eksemplar1
PROFIL USAHA KONSTRUKSI PERORANGAN 2014;Tidak ada;1 eksemplar1
STATISTIK TANAMAN HIAS INDONESIA 2012;Tidak ada;0 eksemplar1
STATISTIK TANAMAN HIAS INDONESIA 2010;Tidak ada;0 eksemplar1
STATISTIK KELAPA SAWIT INDONESIA 2012;Tidak ada;0 eksemplar1
STATISTIK KELAPA SAWIT INDONESIA 2014;Tidak ada;0 eksemplar1
INDIKATOR PERTANIAN 2014/2015;Tidak ada;1 eksemplar1
SENSUS PERTANIAN 2013, ANGKA NASIONAL HASIL SURVEI ST2013 - SUBSEKTOR RUMAH TANGGA USAHA TANAMAN PADI 2014;Tidak ada;0 eksemplar1
SENSUS PERTANIAN 2013, ANGKA NASIONAL HASIL SURVEI ST2013 - SUBSEKTOR RUMAH TANGGA USAHA PETERNAKAN 2014 BUKU E;Tidak ada;0 eksemplar1
STATISTIK INDUSTRI MANUFAKTUR PRODUKSI INDONESIA 2017;Tidak ada;0 eksemplar1
PROFIL KONSTRUKSI TIDAK BERBADAN HUKUM DI INDONESIA 2012;Tidak ada;0 eksemplar1
STATISTIK INDUSTRI MANUFAKTUR BAHAN BAKU INDONESIA 2015;Tidak ada;0 eksemplar1
STATISTIK AIR BERSIH 2012-2017;Tidak ada;0 eksemplar1
STATISTIK INDUSTRI MANUFAKTUR PRODUKSI INDONESIA 2014;Tidak ada;0 eksemplar1
STATISTIK AIR BERSIH PROVINSI D.I YOGYAKARTA 2008-2012;Tidak ada;0 eksemplar1
STATISTIK LISTRIK 2011-2013;Tidak ada;0 eksemplar1
STATISTIK KARET INDONESIA 2015;Tidak ada;1 eksemplar1
STATISTIK INDUSTRI MANUFAKTUR PRODUKSI INDONESIA 2017;Tidak ada;0 eksemplar1
STATISTIK INDUSTRI MANUFAKTUR INDONESIA 2012;Tidak ada;1 eksemplar1
STATISTIK INDUSTRI MANUFAKTUR BAHAN BAKU INDONESIA 2014;Tidak ada;1 eksemplar1
BENCHMARK STATISTIK KONSTRUKSI 1990-2014;Tidak ada;0 eksemplar1
STATISTIK INDUSTRI BESAR DAN SEDANG INDONESIA 2009;Tidak ada;0 eksemplar1
STATISTIK INDUSTRI MANUFAKTUR INDONESIA 2014;Tidak ada;1 eksemplar1
STATISTIK INDUSTRI MANUFAKTUR BAHAN BAKU INDONESIA 2014;Tidak ada;1 eksemplar1
STATISTIK PERTAMBANGAN MINYAK DAN GAS BUMI 2013-2018;Tidak ada;1 eksemplar1
BENCHMARK INDEKS KONSTRUKSI (2010=100) 1990-2013;Tidak ada;0 eksemplar1
STATISTIK INDUSTRI BESAR DAN SEDANG INDONESIA 2009;Tidak ada;0 eksemplar1
PERKEMBANGAN INDEKS PRODUKSI TRIWULANAN INDUSTRI MIKRO DAN KECIL 2017-2019;Tidak ada;2 eksemplar1
PROFIL INDUSTRI MIKRO DAN KECIL 2018;Tidak ada;1 eksemplar1
EVALUASI STATISTIK HARGA PRODUSEN GABAH 2016;Tidak ada;1 eksemplar2
STATISTIK KONSTRUKSI 2008;Tidak ada;0 eksemplar2
INDIKATOR KONSTRUKSI TRIWULAN II 2009;Tidak ada;1 eksemplar1
NERACA ENERGI INDONESIA 2014-2018;Tidak ada;2 eksemplar1
STATISTIK INDUSTRI MANUFAKTUR INDONESIA 2017;Tidak ada;1 eksemplar1
BENCHMARK STATISTIK KONSTRUKSI 2012-2017;Tidak ada;1 eksemplar1
STATISTIK CAPTIVE POWER 2019;Tidak ada;1 eksemplar1
